lon,lat,sst_obs,reliability,sd,source,type
-4.31,36.21,11.28,2,1.5,Dinocysts,ann
-16.62,62.09,4.68,1,1.5,Dinocysts,ann
-21.864,50.688,9.83,2,1.5,Dinocysts,ann
5.102,-2.202,26.69,2,1.5,Dinocysts,ann
-16.665,52.425,7.08,2,1.5,Dinocysts,ann
4.905,66.667,4.54,1,1.5,Dinocysts,ann
-29.596,64.797,6.94,1,1.5,Dinocysts,ann
-64.26666667,71.33333333,-0.16,1,1.5,Dinocysts,ann
-57.5,58.37,-0.29,1,1.5,Dinocysts,ann
-63.10316667,42.6255,6.36,1,1.5,Dinocysts,ann
-57.42,65.4,-0.71,1,1.5,Dinocysts,ann
-53.885,62.649,-0.02,1,1.5,Dinocysts,ann
-59.44,62.51,0.13,1,1.5,Dinocysts,ann
-48.373,58.21,7.08,2,1.5,Dinocysts,ann
-61.65033333,42.776,5.44,1,1.5,Dinocysts,ann
-62.33016667,41.82933333,5.88,1,1.5,Dinocysts,ann
-43.45,59.36,-1.54,1,1.5,Dinocysts,ann
-39.3,59.49,6.35,2,1.5,Dinocysts,ann
-33.57,59.84,8.46,2,1.5,Dinocysts,ann
-30.57,59.67,7.75,2,1.5,Dinocysts,ann
-28.74,58.94,5.19,2,1.5,Dinocysts,ann
-30.22,55.74,7.8,2,1.5,Dinocysts,ann
-33.52,53.07,8.54,2,1.5,Dinocysts,ann
-35.53,52.86,9.92,2,1.5,Dinocysts,ann
-45.68,50.2,0.5,1,1.5,Dinocysts,ann
-8.534,47.452,7.51,1,1.5,Dinocysts,ann
-3.9977,62.7375,6.66,1,1.5,Dinocysts,ann
4.5662,66.6842,4.3,1,1.5,Dinocysts,ann
-55.62016667,44.664,7.12,1,1.5,Dinocysts,ann
-30.664,56.796,6.7,1,1.5,Dinocysts,ann
-14.583,55.5,5.99,2,1.5,Dinocysts,ann
-148.466,54.363,3.33,1,1.5,Dinocysts,ann
-48,-54,-0.11,1,1.5,Dinocysts,ann
-10.183,37.767,10.72,3,1.5,Dinocysts,ann
-3.305,44.898,7.6,2,1.5,Dinocysts,ann
-45.16,58.22,4.43,2,1.5,Dinocysts,ann
-39.46666667,59.53333333,6.65,2,1.5,Dinocysts,ann
-37.38,62.67,6.71,2,1.5,Dinocysts,ann
-22.43,61.79,6.04,2,1.5,Dinocysts,ann
-22.08,60.57,7.04,1,1.5,Dinocysts,ann
-21.94,52.567,5.97,2,1.5,Dinocysts,ann
-17.1,50.02,8.85,2,1.5,Dinocysts,ann
-83.74,1.2,24.14,1,1.5,Foraminifera,ann
57.61,18.05,25.87,1,1.5,Foraminifera,ann
115.54,-16.92,23.82,1,1.5,Foraminifera,ann
112.25,-19.89,22.72,1,1.5,Foraminifera,ann
166.28,-15.29,27.08,1,1.5,Foraminifera,ann
-90.49,-3.05,21.86,2,1.5,Foraminifera,ann
167.77,51.2,4.02,2,1.5,Foraminifera,ann
24.88,33.84,17.14,1,1.5,Foraminifera,ann
18.95,35.78,16.4,2,1.5,Foraminifera,ann
4.5,38.89,9.29,2,1.5,Foraminifera,ann
-1.57,36.19,10.96,2,1.5,Foraminifera,ann
115.87,18.75,24.71,2,1.5,Foraminifera,ann
-86.09,0.61,23.83,1,1.5,Foraminifera,ann
24.3,36.5,12.65,1,1.5,Foraminifera,ann
161.23,-26.11,19.73,2,1.5,Foraminifera,ann
164.45,-31.58,17.54,2,1.5,Foraminifera,ann
165.44,-36.47,13.5,1,1.5,Foraminifera,ann
167.67,-40.51,11.21,1,1.5,Foraminifera,ann
51.73,8.98,25.66,2,1.5,Foraminifera,ann
-19.44,58.63,3.35,1,1.5,Foraminifera,ann
-23.24,59.47,3.9,1,1.5,Foraminifera,ann
-16.5,58,4.28,1,1.5,Foraminifera,ann
-20.16,19,17.06,3,1.5,Foraminifera,ann
14.23,38.23,12.18,1,1.5,Foraminifera,ann
14.02,38.16,12.98,1,1.5,Foraminifera,ann
13.27,38.22,9.72,1,1.5,Foraminifera,ann
13.35,38.25,12.08,1,1.5,Foraminifera,ann
-171.5,-41.58,13.65,2,1.5,Foraminifera,ann
13.34,39.41,11.44,1,1.5,Foraminifera,ann
127.27,28.15,25.38,2,1.5,Foraminifera,ann
168.34,-40.28,11.32,1,1.5,Foraminifera,ann
147.23,-45.07,9.27,1,1.5,Foraminifera,ann
150.05,-43.92,10.48,2,1.5,Foraminifera,ann
105.58,-43.23,8.73,1,1.5,Foraminifera,ann
106.52,-44.88,6.4,1,1.5,Foraminifera,ann
114.35,-45.04,8.63,1,1.5,Foraminifera,ann
113.58,-33.62,17.96,1,1.5,Foraminifera,ann
100.01,-41.02,8.88,1,1.5,Foraminifera,ann
97.58,-29.7,19.11,2,1.5,Foraminifera,ann
85.41,-39.9,10.25,1,1.5,Foraminifera,ann
83.72,-39.52,10.92,1,1.5,Foraminifera,ann
79.9,-38.54,11.05,1,1.5,Foraminifera,ann
79.92,-38.55,11.94,1,1.5,Foraminifera,ann
86.49,-30.35,18.8,1,1.5,Foraminifera,ann
90.17,-46.05,4.66,1,1.5,Foraminifera,ann
94.88,-42.18,8.65,1,1.5,Foraminifera,ann
95.08,-47.12,3.13,1,1.5,Foraminifera,ann
141.06,-38.85,11.58,2,1.5,Foraminifera,ann
150,-44.26,10.76,1,1.5,Foraminifera,ann
121.03,-14.01,26.46,1,1.5,Foraminifera,ann
115,-17.64,24.25,1,1.5,Foraminifera,ann
112.66,-20.05,21.61,2,1.5,Foraminifera,ann
113.5,-22.13,21.44,1,1.5,Foraminifera,ann
111.83,-24.74,21.75,1,1.5,Foraminifera,ann
114.59,-30.99,20.99,2,1.5,Foraminifera,ann
108.51,-24.46,21.84,1,1.5,Foraminifera,ann
112.74,-12.25,25.93,2,1.5,Foraminifera,ann
116.27,-18.56,27.55,1,1.5,Foraminifera,ann
118.07,-10.78,24.54,2,1.5,Foraminifera,ann
7.1,-21.88,18,2,1.5,Foraminifera,ann
6.04,-22.92,18.5,1,1.5,Foraminifera,ann
5.42,-21.74,18.21,1,1.5,Foraminifera,ann
-10.98,1.66,22.88,2,1.5,Foraminifera,ann
-10.75,-5.78,20.6,2,1.5,Foraminifera,ann
-12.58,-3.56,20.41,2,1.5,Foraminifera,ann
-14.9,-3.82,21.47,2,1.5,Foraminifera,ann
7.24,-24.69,18.57,1,1.5,Foraminifera,ann
5.31,-24.03,17.71,2,1.5,Foraminifera,ann
-26.77,-35.21,17.66,1,1.5,Foraminifera,ann
-28.67,-31.67,20.32,2,1.5,Foraminifera,ann
-29.66,-31.66,20.69,1,1.5,Foraminifera,ann
-9.46,-15.68,21.53,1,1.5,Foraminifera,ann
-12.71,-20.37,22.49,2,1.5,Foraminifera,ann
-17.07,-15.54,24.85,2,1.5,Foraminifera,ann
-32.01,-3.68,25.78,2,1.5,Foraminifera,ann
-30.65,2.31,24.82,2,1.5,Foraminifera,ann
-33.01,2.27,24.93,2,1.5,Foraminifera,ann
-34.03,5.33,27.08,1,1.5,Foraminifera,ann
-43.67,4.24,25.96,2,1.5,Foraminifera,ann
-41.62,3.83,25.89,2,1.5,Foraminifera,ann
3.55,1.95,25.2,2,1.5,Foraminifera,ann
11.75,-29.45,17.71,1,1.5,Foraminifera,ann
-11.85,-8.68,23.98,2,1.5,Foraminifera,ann
-13.99,-17.14,24.45,2,1.5,Foraminifera,ann
14.34,-30.87,18.33,1,1.5,Foraminifera,ann
-1.33,-31.9,16.66,1,1.5,Foraminifera,ann
-8.78,-36.06,15.27,1,1.5,Foraminifera,ann
-14.4,-36.83,13.94,1,1.5,Foraminifera,ann
-45.88,-27.91,22.59,2,1.5,Foraminifera,ann
-36.65,-23.04,24.44,2,1.5,Foraminifera,ann
-39.86,-20.82,24.33,2,1.5,Foraminifera,ann
-34.27,-8.2,25.99,2,1.5,Foraminifera,ann
-34.02,-8.53,25.64,1,1.5,Foraminifera,ann
-38.34,-30.85,19.74,2,1.5,Foraminifera,ann
-37.72,-3.67,25.43,2,1.5,Foraminifera,ann
-37.09,-4.3,26.11,2,1.5,Foraminifera,ann
-34.46,-7.05,25.73,1,1.5,Foraminifera,ann
-34.44,-7.01,25.51,2,1.5,Foraminifera,ann
17.54,-35.13,18.17,1,1.5,Foraminifera,ann
12.02,-25.25,18.16,2,1.5,Foraminifera,ann
-8.31,-29.51,19.24,2,1.5,Foraminifera,ann
-14.71,-30.81,19.79,1,1.5,Foraminifera,ann
-21.97,-32.27,17.62,1,1.5,Foraminifera,ann
-16.26,-23.83,24.08,3,1.5,Foraminifera,ann
-14.04,-24.14,23.66,2,1.5,Foraminifera,ann
-12.02,-24.18,23.79,3,1.5,Foraminifera,ann
-10.19,-19.09,23.16,2,1.5,Foraminifera,ann
-16.61,-19.05,25.08,3,1.5,Foraminifera,ann
-15.11,26.84,17.9,2,1.5,Foraminifera,ann
-18.72,23.5,17.96,2,1.5,Foraminifera,ann
-18.57,21.15,18.33,2,1.5,Foraminifera,ann
-19.93,19.37,19.71,1,1.5,Foraminifera,ann
-18.13,15.95,19.29,1,1.5,Foraminifera,ann
-17.36,15.48,21.33,1,1.5,Foraminifera,ann
-17.86,15.83,21.45,1,1.5,Foraminifera,ann
-17.75,23.14,17.57,2,1.5,Foraminifera,ann
-16.85,25.17,17.51,3,1.5,Foraminifera,ann
-18.01,18.07,19.05,1,1.5,Foraminifera,ann
-18.08,18.12,19.22,1,1.5,Foraminifera,ann
-19.85,5.67,25.75,2,1.5,Foraminifera,ann
-22.03,3.02,24.07,2,1.5,Foraminifera,ann
-26.54,44.36,6.08,1,1.5,Foraminifera,ann
-12.09,29.17,18.41,2,1.5,Foraminifera,ann
-18.99,27.01,20.34,2,1.5,Foraminifera,ann
-7.82,34.89,19.25,2,1.5,Foraminifera,ann
-17.8,21.25,18.72,1,1.5,Foraminifera,ann
-11.24,61.87,1.24,3,1.5,Foraminifera,ann
-11.18,61.87,1.17,3,1.5,Foraminifera,ann
-19.1,9.57,22.33,2,1.5,Foraminifera,ann
-21.75,5.39,26.62,2,1.5,Foraminifera,ann
-22.05,5.34,26.92,2,1.5,Foraminifera,ann
-22.06,5.34,27.35,2,1.5,Foraminifera,ann
5.1,-2.2,21.85,3,1.5,Foraminifera,ann
-16.67,52.43,4.55,1,1.5,Foraminifera,ann
-27.89,55.47,3.32,1,1.5,Foraminifera,ann
-31.99,56.16,2.17,1,1.5,Foraminifera,ann
-27.06,48.22,3.49,1,1.5,Foraminifera,ann
8.33,76,0.2,3,1.5,Foraminifera,ann
4.58,77.46,0.37,3,1.5,Foraminifera,ann
7.39,72.11,0.68,3,1.5,Foraminifera,ann
117.54,19.79,25.18,2,1.5,Foraminifera,ann
117.38,20.12,24.6,2,1.5,Foraminifera,ann
111.53,14.8,26.95,2,1.5,Foraminifera,ann
3.84,68.5,1.56,3,1.5,Foraminifera,ann
0.83,68.5,0.97,3,1.5,Foraminifera,ann
2.91,67.09,0.45,3,1.5,Foraminifera,ann
4.91,66.67,0.6,3,1.5,Foraminifera,ann
14.43,72.23,1.26,3,1.5,Foraminifera,ann
-10.59,72.38,0.5,3,1.5,Foraminifera,ann
-18.21,70.36,0.58,3,1.5,Foraminifera,ann
-10.63,70.33,0.33,3,1.5,Foraminifera,ann
-19.76,54.96,2.71,1,1.5,Foraminifera,ann
-29.6,64.8,0.88,3,1.5,Foraminifera,ann
177.44,-36.93,15.21,2,1.5,Foraminifera,ann
-53.89,62.65,0.73,3,1.5,Foraminifera,ann
-48.37,58.21,0.53,3,1.5,Foraminifera,ann
-45.26,50.39,1.37,3,1.5,Foraminifera,ann
127.74,2.69,26.56,2,1.5,Foraminifera,ann
14.3,38.49,13.88,2,1.5,Foraminifera,ann
13.21,40.33,13.04,1,1.5,Foraminifera,ann
11.43,40.35,11.42,2,1.5,Foraminifera,ann
11.41,36.32,15.42,1,1.5,Foraminifera,ann
17.59,41.31,12.43,2,1.5,Foraminifera,ann
-32.29,37.11,18.94,3,1.5,Foraminifera,ann
-31.84,37.58,18.12,3,1.5,Foraminifera,ann
-31.13,38,16.69,2,1.5,Foraminifera,ann
160.01,-1.17,28.73,1,1.5,Foraminifera,ann
160.01,-1.17,28.72,1,1.5,Foraminifera,ann
139.64,8.02,27.27,1,1.5,Foraminifera,ann
141.86,3.53,27.76,2,1.5,Foraminifera,ann
19.19,32.77,19.77,3,1.5,Foraminifera,ann
-1.57,35.55,11.54,1,1.5,Foraminifera,ann
6.89,40.26,11.36,2,1.5,Foraminifera,ann
6.11,38.65,13.48,2,1.5,Foraminifera,ann
-61.24,12.09,26.78,3,1.5,Foraminifera,ann
-67.17,17.65,26.33,3,1.5,Foraminifera,ann
110.25,13.78,26.27,1,1.5,Foraminifera,ann
167.73,51.27,4.83,2,1.5,Foraminifera,ann
72.57,15.53,28.51,1,1.5,Foraminifera,ann
72.57,15.53,27.61,1,1.5,Foraminifera,ann
50.52,14.44,26.82,2,1.5,Foraminifera,ann
95.03,10.13,28.29,1,1.5,Foraminifera,ann
94.09,11.46,28.21,1,1.5,Foraminifera,ann
91.01,18.22,28.09,1,1.5,Foraminifera,ann
89.51,18.28,27.99,1,1.5,Foraminifera,ann
76.43,7.3,27.34,2,1.5,Foraminifera,ann
75.14,10.28,28.25,1,1.5,Foraminifera,ann
59.34,20.42,25.27,2,1.5,Foraminifera,ann
38.67,-17.88,24.26,2,1.5,Foraminifera,ann
10.07,38.14,9.2,1,1.5,Foraminifera,ann
26.58,35.66,14.39,1,1.5,Foraminifera,ann
33.45,32.14,18.59,1,1.5,Foraminifera,ann
34.21,32.04,18.61,1,1.5,Foraminifera,ann
34.23,32.47,20.2,1,1.5,Foraminifera,ann
32.38,33.02,19.42,1,1.5,Foraminifera,ann
90.11,-46.07,3.1,1,1.5,Foraminifera,ann
96.47,-46.02,2.77,1,1.5,Foraminifera,ann
1.59,39.95,12.59,1,1.5,Foraminifera,ann
17.61,41.3,12.9,2,1.5,Foraminifera,ann
73.88,5.07,26.25,2,1.5,Foraminifera,ann
79.42,-42.5,9.23,1,1.5,Foraminifera,ann
