xovga,xovgb,xovgc,xovgd,xovge,xovgf,xovgg,xovgh,xovgi,xovgj,xovgk,xovgl,xovgm,xovgn,xovgo,xovgp,xovgq,xovgr,xovgs,xovgt,xovgu,xovgv,xovgw,xovgx,xovgy
1507.19934082,1507.30517578,1505.14208984,1507.17163086,1504.97045898,1507.78564453,1506.26733398,1507.33642578,1507.70263672,1506.9420166,1505.33825684,1505.54736328,1506.94299316,1506.21276855,1506.59716797,1506.02246094,1506.33203125,1507.14758301,1506.6685791,1506.81774902,1507.21716309,1506.94116211,1504.2746582,1505.76257324,1507.08996582
1509.23937988,1509.69543457,1505.14233398,1509.25610352,1505.05847168,1510.48059082,1509.23669434,1509.29248047,1510.96240234,1509.77941895,1506.67541504,1507.59875488,1509.99511719,1507.49536133,1506.7833252,1509.27062988,1508.97229004,1509.62976074,1508.56750488,1509.00634766,1509.20690918,1509.67822266,1504.49353027,1506.2388916,1509.48510742
1511.52575684,1510.82641602,1505.44702148,1511.26953125,1505.703125,1513.40930176,1510.27612305,1511.10827637,1512.8182373,1511.00683594,1509.48876953,1510.44055176,1512.69677734,1508.98583984,1507.52038574,1511.77368164,1510.2956543,1511.68115234,1509.79846191,1511.23632812,1511.87927246,1510.87487793,1506.11254883,1507.59204102,1511.8717041
1514.02575684,1511.82495117,1507.41540527,1513.41394043,1507.17468262,1516.48059082,1511.34875488,1511.42333984,1514.79382324,1512.0267334,1511.55761719,1512.35266113,1514.36706543,1510.73681641,1509.01989746,1514.73608398,1510.85327148,1513.53442383,1510.57702637,1513.23022461,1514.44091797,1512.98986816,1507.28271484,1508.24780273,1515.05004883
1515.60876465,1512.14233398,1509.62731934,1515.72058105,1508.28173828,1518.72460938,1512.8704834,1512.17114258,1516.64941406,1513.27331543,1512.60583496,1513.52807617,1515.50378418,1512.19140625,1509.15686035,1517.38659668,1511.77563477,1514.57531738,1511.12097168,1513.82165527,1516.22558594,1513.6862793,1509.03552246,1508.66491699,1516.8927002
1516.16223145,1513.43457031,1511.0,1516.91259766,1508.89868164,1519.17553711,1514.87219238,1513.95471191,1518.8717041,1514.48596191,1512.49035645,1514.68151855,1517.19091797,1513.56225586,1509.39672852,1520.07385254,1511.92077637,1515.64685059,1512.00878906,1515.57397461,1517.19213867,1514.2989502,1510.43237305,1509.48901367,1519.08032227
1516.85717773,1513.30859375,1511.24951172,1518.64282227,1509.61694336,1520.13879395,1516.83496094,1514.9185791,1521.24438477,1515.65673828,1513.68408203,1515.93554688,1518.37524414,1513.20080566,1509.53430176,1522.32629395,1513.88110352,1517.55444336,1513.01696777,1516.21337891,1518.3314209,1516.29296875,1511.57849121,1510.1003418,1519.06665039
1518.89111328,1513.36938477,1511.20581055,1520.86657715,1510.30786133,1522.4407959,1518.31420898,1516.13049316,1522.67077637,1516.09106445,1514.88659668,1516.55737305,1520.0925293,1514.32666016,1510.82678223,1524.75476074,1515.09460449,1519.14697266,1513.77600098,1517.23022461,1519.58325195,1516.95117188,1512.00964355,1511.38879395,1519.61779785
1519.8026123,1514.44873047,1511.81689453,1522.35998535,1511.45483398,1523.59729004,1518.89575195,1517.44335938,1524.47668457,1518.10351562,1515.85144043,1517.13659668,1521.26391602,1516.06323242,1511.82092285,1526.88256836,1515.69421387,1519.6887207,1515.49829102,1518.65527344,1520.23083496,1519.06628418,1512.49450684,1513.22424316,1521.24853516
1520.22253418,1515.56665039,1513.34460449,1523.55078125,1512.42236328,1525.88964844,1521.60668945,1519.15917969,1526.39477539,1520.95056152,1516.25378418,1518.14794922,1523.13122559,1517.17614746,1513.12365723,1528.90576172,1516.74768066,1521.14697266,1516.58105469,1518.68518066,1519.58154297,1521.17565918,1512.79077148,1513.58447266,1522.45263672
1522.41455078,1515.67529297,1514.30212402,1525.85205078,1513.34936523,1526.7623291,1522.72802734,1520.48144531,1527.90478516,1522.22143555,1517.08813477,1519.76171875,1524.94836426,1517.49865723,1514.31433105,1530.34387207,1518.13305664,1523.73742676,1518.57653809,1520.3536377,1521.34338379,1522.41552734,1513.5814209,1515.06079102,1524.7121582
1524.45495605,1514.59155273,1515.16687012,1528.17907715,1514.86499023,1528.91308594,1525.24401855,1522.37402344,1530.625,1523.51647949,1518.04504395,1522.21484375,1526.1697998,1519.5447998,1516.16992188,1532.55847168,1518.6217041,1524.89758301,1519.76330566,1521.60827637,1522.88037109,1523.82763672,1515.01965332,1516.40588379,1527.1920166
1527.19299316,1515.82946777,1516.82043457,1529.40039062,1516.1217041,1530.77612305,1527.57128906,1524.36413574,1532.44335938,1524.88330078,1519.39404297,1523.92504883,1527.85571289,1521.1965332,1517.08959961,1534.27502441,1518.93835449,1527.27233887,1521.01086426,1523.44714355,1524.08105469,1526.78381348,1516.00012207,1518.05041504,1529.73291016
1529.41149902,1516.69116211,1518.32373047,1531.90588379,1517.75634766,1533.46398926,1529.4732666,1525.52648926,1535.35571289,1525.65332031,1520.56958008,1523.76477051,1528.9317627,1522.7677002,1518.13256836,1535.83227539,1520.65441895,1529.48583984,1522.36584473,1525.39990234,1526.19836426,1528.1973877,1516.79406738,1519.95495605,1532.31030273
1531.24035645,1517.89770508,1519.73937988,1534.49182129,1519.17028809,1535.66247559,1532.49633789,1527.19824219,1538.18115234,1528.20935059,1522.68261719,1523.48034668,1530.27697754,1523.81201172,1519.53137207,1538.73803711,1521.67321777,1531.08508301,1523.90002441,1527.75769043,1527.71313477,1530.79821777,1518.35681152,1522.1640625,1534.24902344
1533.84619141,1519.43481445,1520.89489746,1536.05273438,1520.69787598,1538.44055176,1534.95007324,1528.86560059,1540.77966309,1530.34228516,1524.4777832,1525.40161133,1531.82421875,1527.34423828,1521.24743652,1541.70617676,1522.82849121,1533.91162109,1525.22961426,1529.9630127,1530.37585449,1533.84741211,1519.19702148,1523.90319824,1537.37194824
1535.89709473,1520.33410645,1523.11791992,1539.02697754,1522.74890137,1540.90539551,1537.16540527,1530.76660156,1543.46325684,1532.51794434,1526.77087402,1528.24499512,1534.44470215,1529.33081055,1523.34960938,1544.25634766,1524.16796875,1535.99902344,1526.89672852,1531.90905762,1532.42834473,1536.26647949,1520.96228027,1525.32971191,1540.20605469
