xovga,xovgb,xovgc,xovgd,xovge,xovgf,xovgg,xovgh,xovgi,xovgj,xovgk,xovgl,xovgm,xovgn,xovgo,xovgp,xovgq,xovgr,xovgs,xovgt,xovgu,xovgv,xovgw,xovgx,xovgy
2881.11132813,2880.48291016,2880.39794922,2881.03320313,2880.64453125,2880.32373047,2881.11938477,2880.97119141,2880.00927734,2881.05688477,2880.79785156,2880.79785156,2880.18847656,2880.3737793,2880.11157227,2880.1237793,2879.93139648,2880.65332031,2879.94726562,2880.83422852,2880.2265625,2881.50390625,2880.04833984,2880.26586914,2879.74414062
2880.53125,2878.58911133,2878.55395508,2879.53051758,2878.79858398,2878.06665039,2880.15844727,2879.8125,2877.99291992,2880.33691406,2879.27416992,2879.34130859,2878.04174805,2878.46948242,2877.80126953,2878.36010742,2878.32348633,2879.11230469,2878.03149414,2879.06005859,2877.98876953,2880.47070313,2877.8215332,2878.79345703,2878.04736328
2879.45092773,2876.39111328,2877.43237305,2878.22949219,2877.27270508,2876.33227539,2878.96240234,2878.47802734,2876.046875,2878.62036133,2877.16430664,2878.28076172,2876.10766602,2877.33544922,2875.89111328,2876.04980469,2876.45166016,2877.67602539,2876.26416016,2877.79101562,2875.67602539,2879.13500977,2875.39355469,2877.41601562,2876.04956055
2878.58325195,2874.29174805,2875.9284668,2877.15869141,2875.64282227,2874.47705078,2877.41943359,2877.42749023,2873.91796875,2877.45043945,2875.76025391,2876.36181641,2874.14453125,2875.72583008,2873.83569336,2873.95629883,2874.73754883,2875.95874023,2874.12915039,2876.28930664,2873.74755859,2878.11157227,2873.42211914,2876.00146484,2874.4230957
2877.78662109,2872.4465332,2874.06201172,2875.97265625,2873.84106445,2872.91992187,2876.58911133,2875.91796875,2871.74487305,2875.91699219,2874.0559082,2874.859375,2872.07836914,2873.83740234,2871.88427734,2872.5715332,2872.62036133,2874.49487305,2872.28417969,2874.64404297,2871.66967773,2877.24926758,2871.29394531,2874.57324219,2872.85058594
2876.43896484,2870.80883789,2872.63330078,2874.98852539,2871.9440918,2870.96362305,2875.85961914,2874.85253906,2869.68798828,2874.64477539,2872.38842773,2873.78686523,2870.45898438,2872.79174805,2870.00854492,2871.49560547,2870.53100586,2872.79907227,2870.09277344,2873.03125,2869.59521484,2876.14038086,2869.00415039,2872.83276367,2870.97192383
2875.4765625,2869.05639648,2870.94091797,2874.19360352,2870.25805664,2868.96606445,2875.10986328,2873.36206055,2867.86938477,2873.44360352,2870.28198242,2872.61425781,2868.29077148,2871.65283203,2867.9765625,2869.58447266,2869.00268555,2871.56176758,2867.91894531,2871.65942383,2867.21948242,2875.44506836,2866.61621094,2871.22802734,2868.85522461
2874.74560547,2867.12524414,2869.43847656,2873.27197266,2868.8684082,2867.20898438,2874.16308594,2871.75683594,2866.06518555,2872.16625977,2868.53173828,2871.57592773,2866.73754883,2869.98730469,2866.10229492,2868.01147461,2867.47558594,2870.25341797,2866.21923828,2870.15405273,2865.14746094,2874.11254883,2864.43798828,2869.83276367,2866.44482422
2873.75610352,2865.61547852,2867.80883789,2872.13671875,2867.80688477,2865.15087891,2872.7253418,2870.4453125,2864.1953125,2871.01147461,2867.13964844,2870.30078125,2865.08227539,2869.06201172,2864.48657227,2865.85058594,2865.84277344,2869.37255859,2864.42895508,2868.75976562,2862.93847656,2873.19799805,2862.32885742,2868.51635742,2864.34155273
2873.01171875,2863.82836914,2866.26269531,2870.87524414,2866.41381836,2863.55834961,2872.16162109,2869.02172852,2862.43481445,2870.48901367,2865.26293945,2869.17724609,2863.48046875,2867.68261719,2862.74072266,2864.19189453,2864.20751953,2868.02050781,2862.72900391,2866.97729492,2860.96191406,2871.95141602,2860.16088867,2867.25244141,2862.47631836
