xovga,xovgb,xovgc,xovgd,xovge,xovgf,xovgg,xovgh,xovgi,xovgj,xovgk,xovgl,xovgm,xovgn,xovgo,xovgp,xovgq,xovgr,xovgs,xovgt,xovgu,xovgv,xovgw,xovgx,xovgy
1122.97143555,1120.27001953,1120.09851074,1125.29589844,1121.59814453,1120.59802246,1122.93579102,1122.79785156,1122.30053711,1122.45800781,1124.23730469,1122.62768555,1124.77111816,1120.43054199,1119.7833252,1120.70910645,1119.81494141,1122.63793945,1121.74926758,1122.76647949,1121.72155762,1122.85009766,1120.75524902,1119.72058105,1121.66491699
1128.58178711,1121.90856934,1118.57019043,1124.94812012,1123.43029785,1120.26428223,1126.78979492,1121.53857422,1123.59191895,1124.71411133,1123.35461426,1123.6472168,1125.21496582,1120.36169434,1117.41491699,1121.21911621,1118.73449707,1127.12207031,1122.08728027,1122.44396973,1123.98901367,1123.51672363,1122.08117676,1119.37072754,1121.29882812
1132.1373291,1121.70117188,1121.58312988,1129.9519043,1123.63232422,1123.43615723,1129.5526123,1121.50109863,1123.66870117,1123.2557373,1123.02294922,1120.53405762,1125.14379883,1119.21862793,1119.39672852,1123.11328125,1119.55737305,1129.44604492,1122.22497559,1123.22546387,1123.76672363,1123.10559082,1123.22058105,1121.20812988,1121.44152832
1132.0760498,1121.49316406,1122.30114746,1132.71203613,1123.82397461,1121.04138184,1130.55895996,1123.85314941,1124.09411621,1123.8380127,1124.67272949,1119.76745605,1127.08776855,1119.28894043,1121.26501465,1124.75427246,1122.31433105,1131.16882324,1121.38818359,1122.62304688,1124.6583252,1125.04150391,1123.56933594,1119.70129395,1122.70410156
1135.20275879,1122.07873535,1123.10107422,1134.41772461,1125.33435059,1121.98193359,1130.56408691,1122.23925781,1124.70458984,1123.49487305,1124.3046875,1118.57043457,1129.08544922,1122.20080566,1120.88293457,1124.78881836,1122.21911621,1134.66235352,1120.83068848,1123.18811035,1125.88952637,1125.95141602,1124.45422363,1121.12854004,1123.76159668
1135.71264648,1124.42626953,1123.10009766,1137.20458984,1124.8059082,1121.7442627,1134.61303711,1122.13317871,1125.23852539,1125.78552246,1122.94750977,1120.56872559,1130.93811035,1125.45593262,1118.46313477,1125.97619629,1121.01196289,1132.95324707,1121.08666992,1123.61206055,1121.82824707,1127.60424805,1124.11071777,1122.72216797,1122.74121094
1136.74243164,1122.36706543,1124.97619629,1138.24731445,1124.47290039,1124.69018555,1138.22253418,1123.74987793,1126.19799805,1128.99926758,1121.03125,1124.16601562,1128.05358887,1127.359375,1118.75439453,1124.71325684,1121.0546875,1134.52539062,1118.0892334,1122.77368164,1118.80297852,1127.51293945,1122.55749512,1124.47619629,1121.05334473
1137.97790527,1124.90258789,1124.5501709,1138.89587402,1126.73901367,1125.00402832,1140.29833984,1124.12548828,1125.1529541,1129.48669434,1119.45446777,1126.67370605,1127.63635254,1127.00964355,1118.94897461,1125.02978516,1121.44641113,1137.57507324,1117.90637207,1123.56921387,1118.1348877,1129.08703613,1122.44091797,1121.88476562,1120.17053223
1140.09606934,1125.11303711,1125.1472168,1141.11901855,1127.85131836,1126.13354492,1141.14489746,1124.546875,1124.31994629,1127.3059082,1119.67675781,1128.39929199,1129.87207031,1128.40258789,1119.25476074,1123.51293945,1121.72192383,1139.81652832,1118.59924316,1123.92480469,1119.19799805,1128.13024902,1124.03088379,1118.44995117,1122.01721191
1140.9901123,1125.38549805,1126.7767334,1140.47387695,1127.92224121,1123.75732422,1141.36914062,1126.42004395,1122.76721191,1128.5456543,1119.05737305,1128.10839844,1132.03723145,1128.22302246,1119.37426758,1124.24499512,1120.81518555,1141.40063477,1117.9395752,1125.28833008,1116.80090332,1128.79150391,1124.15942383,1118.49780273,1123.20385742
1141.99975586,1123.921875,1127.09338379,1139.9909668,1129.8449707,1120.83654785,1143.00830078,1127.41601562,1122.34680176,1125.4798584,1118.38684082,1127.11218262,1131.5201416,1128.0324707,1118.41894531,1123.34448242,1121.96533203,1142.11315918,1118.99414062,1124.81359863,1117.28796387,1126.58483887,1124.61340332,1119.38061523,1122.82385254
1143.20019531,1123.09460449,1128.02502441,1140.51281738,1129.5402832,1119.92590332,1143.95788574,1128.50244141,1123.86755371,1126.86181641,1118.74389648,1126.33068848,1134.05065918,1128.71557617,1117.89221191,1125.61767578,1121.66870117,1143.78051758,1118.53088379,1125.8112793,1116.55541992,1127.09448242,1124.67041016,1120.09985352,1121.96276855
1142.38549805,1124.56347656,1126.46838379,1141.52966309,1129.9732666,1120.04553223,1146.05737305,1125.47888184,1120.2454834,1127.08081055,1117.62976074,1125.4342041,1132.37805176,1127.54064941,1118.13391113,1126.08679199,1120.47973633,1144.88110352,1118.24780273,1125.6739502,1114.15026855,1128.65136719,1124.40783691,1118.90734863,1120.85046387
1142.95947266,1126.37243652,1126.98217773,1141.2722168,1129.55065918,1120.40380859,1145.78991699,1124.91748047,1121.36889648,1124.10571289,1117.28637695,1126.13012695,1132.92675781,1128.34143066,1120.69006348,1122.90722656,1120.27319336,1145.1315918,1117.99743652,1123.98925781,1112.64587402,1129.14672852,1123.39306641,1119.05749512,1121.55432129
1142.19067383,1124.99182129,1125.75769043,1140.50256348,1130.40100098,1120.55761719,1144.44494629,1126.3581543,1121.99377441,1125.6484375,1117.33898926,1126.06164551,1134.05224609,1127.49719238,1121.3145752,1122.73681641,1118.37329102,1144.64367676,1116.83349609,1121.67150879,1114.19519043,1131.08789062,1123.64294434,1119.2331543,1119.44470215
1143.40771484,1122.13989258,1127.86071777,1139.07836914,1130.36425781,1120.91320801,1143.32214355,1127.78112793,1123.48779297,1124.07250977,1117.6730957,1126.56616211,1133.57995605,1126.47558594,1120.56799316,1121.18774414,1117.58935547,1144.99536133,1118.33605957,1122.51403809,1113.02880859,1130.94287109,1121.77124023,1116.43310547,1118.93884277
