xovga,xovgb,xovgc,xovgd,xovge,xovgf,xovgg,xovgh,xovgi,xovgj,xovgk,xovgl,xovgm,xovgn,xovgo,xovgp,xovgq,xovgr,xovgs,xovgt,xovgu,xovgv,xovgw,xovgx,xovgy
940.569213867,941.742553711,943.760437012,940.366088867,943.032592773,940.639343262,940.207702637,942.319519043,940.341796875,942.333374023,939.788635254,941.382141113,939.413146973,942.732299805,941.041259766,940.417419434,943.382995605,941.027526855,941.71697998,943.342163086,942.049987793,939.732971191,939.809509277,943.543579102,942.510131836
945.816711426,945.140991211,947.607543945,941.852966309,946.941345215,944.008239746,942.838500977,946.445373535,944.489562988,947.290222168,944.630310059,945.153198242,940.383056641,948.198974609,942.665405273,945.063537598,948.503845215,943.716674805,945.30645752,948.399719238,944.80480957,941.787902832,942.660766602,949.146850586,946.792785645
948.964660645,948.636108398,950.714355469,943.745056152,952.818237305,946.5625,943.227966309,950.50567627,949.566101074,950.968017578,948.681091309,950.815307617,944.665527344,952.960693359,944.930297852,949.692810059,951.481506348,945.725280762,949.133972168,951.454711914,947.687194824,946.672729492,944.436401367,952.637512207,951.151184082
954.229736328,952.196411133,953.627868652,941.561706543,956.669006348,949.63861084,944.990844727,953.518371582,950.348815918,953.605407715,952.237487793,955.020690918,947.850158691,957.098327637,948.342346191,953.943969727,952.479980469,947.985839844,951.671386719,956.188659668,948.881103516,948.646789551,948.445739746,954.479858398,955.110717773
959.03503418,953.979980469,956.325378418,944.962646484,959.13104248,951.684020996,947.315856934,957.477722168,952.245849609,956.931884766,955.27532959,959.33404541,951.819519043,959.106201172,949.670776367,956.135742187,955.245361328,948.717712402,954.868225098,960.92388916,951.81439209,952.719421387,950.735595703,955.040039062,957.028442383
962.151123047,956.130249023,958.604858398,945.305664062,963.886901855,953.128845215,949.716918945,961.196899414,954.951538086,959.239257813,959.727783203,963.700866699,955.647399902,960.206115723,952.036193848,957.153625488,957.796203613,953.22668457,956.423950195,965.537963867,954.892272949,956.851745605,951.786682129,958.789245605,959.803222656
966.639099121,958.015441895,961.83416748,946.500488281,966.588439941,953.344543457,949.011291504,963.016662598,958.41619873,962.091369629,962.741455078,964.137756348,957.626708984,961.168395996,954.713562012,959.922607422,961.251037598,956.573425293,957.68359375,967.690246582,957.03717041,959.839416504,953.837280273,960.401855469,962.025268555
969.75592041,958.696350098,964.8984375,948.933105469,970.295532227,956.0234375,949.946655273,964.998413086,960.885437012,963.449462891,965.938415527,965.9765625,958.237731934,963.570617676,957.125183105,961.087341309,963.59387207,957.503295898,961.060241699,970.208374023,959.989135742,962.94342041,957.18951416,962.860839844,964.168945312
973.736633301,960.409179688,967.121032715,951.089477539,971.605529785,959.383117676,952.43347168,968.51751709,962.79309082,967.033691406,967.182678223,968.429382324,959.318115234,965.03515625,960.082336426,963.267272949,966.293273926,958.996154785,964.884338379,973.142028809,962.968322754,967.350219727,959.69732666,964.389953613,966.319824219
977.266601562,961.198669434,968.922851562,954.321838379,975.531188965,962.370788574,954.183898926,970.9921875,964.565551758,968.084960938,969.090698242,969.907165527,958.699035645,966.182128906,963.264221191,966.601379395,968.915771484,961.458007812,967.593017578,973.195251465,965.18927002,969.57244873,962.045959473,966.739746094,967.522583008
980.490234375,963.139831543,970.903564453,956.021057129,975.327209473,964.783752441,955.12310791,972.489257813,965.35144043,970.732666016,970.149963379,971.740905762,958.673339844,968.956542969,965.122741699,967.378540039,971.115905762,963.404174805,969.469238281,976.065551758,965.665893555,971.063049316,963.8203125,968.856994629,968.847229004
982.994384766,965.024475098,971.379394531,958.425292969,977.453369141,966.51171875,956.68548584,975.651916504,965.16796875,972.385070801,972.175170898,972.725952148,959.697570801,970.581359863,964.603515625,967.770751953,971.364990234,963.629455566,970.167785645,976.937438965,966.361877441,973.001464844,963.18927002,969.825500488,970.030334473
986.110900879,966.046936035,973.782165527,958.126464844,979.901550293,966.506225586,956.015625,977.696838379,968.179870605,973.541870117,973.494384766,975.193359375,960.801208496,973.403198242,965.73651123,970.590698242,971.476196289,966.004577637,970.543212891,978.677856445,967.602905273,973.156555176,964.606018066,973.274047852,972.557495117
986.980651855,967.128417969,975.584106445,959.954711914,981.245422363,966.856628418,956.155639648,980.19909668,969.4765625,973.700256348,974.687011719,976.840332031,961.50994873,974.639770508,966.384765625,970.762573242,971.216491699,968.337890625,971.177734375,981.496032715,969.305847168,973.642028809,963.921569824,974.778808594,973.073486328
989.12689209,967.149108887,977.602355957,963.724243164,981.525817871,967.76953125,958.625061035,979.518310547,970.07623291,975.268127441,975.592773438,977.006164551,962.524414062,976.0546875,967.354614258,970.981628418,971.941223145,969.853820801,972.338623047,982.693054199,970.112426758,975.840454102,966.295959473,975.974121094,974.45123291
